NAME,TYPE,LOCATION,SUBSCRIPTION,RESOURCEGROUP,REPO(TAG)
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertidentity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertods,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertrds,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertrdscontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertrdsstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertsecurity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sql-aue-ppd-ods-dai-01,Microsoft.Sql/servers/elasticpools,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
stadaiaueppdbak,Microsoft.Storage/storageAccounts,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
Failure Anomalies - appi-aue-qa-mex-api-01,microsoft.alertsmanagement/smartDetectorAlertRules,global,AU-PREPROD-SUB001,rg-aue-qa-mex-api-001,
